12,[564.7824, 71.3288,-55.658 , 63.0871],[0.3816,0.7729,0.9425,0.3538,0.566 ]
999,[0.,0.,0.,0.],[-43.4708,-43.0601,-43.1986,-42.5497,-43.669 ]
1000,[0.,0.,0.,0.],[0.5436,1.4744,0.9535,0.8899,1.3019]
1012,[3620.0175, 209.5533,-218.2718, 266.3542],[1.4799,1.1047,0.2283,0.8015,1.9434]
1021,[0.,0.,0.,0.],[0.682 ,0.3099,1.2192,0.9417,1.1945]
1100,[0.,0.,0.,0.],[0.8328,1.0095,0.6507,1.6376,1.0577]
1101,[0.,0.,0.,0.],[ 0.5742,-0.289 , 0.2379, 0.5994, 0.1237]
1102,[0.,0.,0.,0.],[ 0.4257, 0.6992,-0.0053, 0.2867, 0.2303]
1110,[0.,0.,0.,0.],[ 0.8444,-0.3007, 0.5798, 0.7948, 0.3048]
1112,[2388.2278,  94.392 , -96.018 , 132.6423],[0.9441,2.0367,0.2909,0.9154,1.6935]
1114,[0.,0.,0.,0.],[ 0.1789, 1.0884,-0.2767,-0.1403, 0.4428]
1120,[0.,0.,0.,0.],[ 0.3763, 0.6754,-0.0383, 0.1037, 0.4213]
1121,[0.,0.,0.,0.],[0.7878,0.5177,1.5117,0.3534,0.5346]
1132,[0.,0.,0.,0.],[ 0.3535,-0.0122, 0.8464, 0.7972, 0.6404]
1134,[0.,0.,0.,0.],[1.211 ,1.6826,0.7499,0.5366,0.8183]
1141,[0.,0.,0.,0.],[0.2763,0.394 ,0.2827,0.3724,0.7939]
1143,[0.,0.,0.,0.],[0.708 ,0.6331,1.1928,0.3231,0.8247]
1145,[0.,0.,0.,0.],[ 0.3635,-0.5581, 1.2835, 0.0663,-0.2803]
1154,[0.,0.,0.,0.],[ 0.8383,-0.0268, 0.7259, 0.6667, 0.7618]
1156,[0.,0.,0.,0.],[0.3334,1.2853,0.2163,0.777 ,1.5782]
1158,[0.,0.,0.,0.],[ 0.1693, 0.1785,-0.1043,-0.0123,-0.0104]
1163,[0.,0.,0.,0.],[0.6421,0.4932,0.3597,0.6875,0.2782]
1165,[0.,0.,0.,0.],[0.5553,0.7274,1.3653,0.3609,1.0023]
1167,[0.,0.,0.,0.],[-0.0255,-0.1574, 1.1853,-0.2118, 0.0796]
1176,[0.,0.,0.,0.],[0.3014,0.2066,0.5506,0.3722,0.805 ]
1178,[0.,0.,0.,0.],[0.8721,1.9406,0.2019,0.805 ,0.2699]
1179,[0.,0.,0.,0.],[-0.4535, 0.7081,-0.7839,-0.3502,-0.3046]
1185,[0.,0.,0.,0.],[0.632 ,0.5404,0.3566,0.2778,0.3883]
1187,[0.,0.,0.,0.],[1.0919,0.1289,1.7066,1.0568,0.7685]
1189,[0.,0.,0.,0.],[ 0.0714,-0.6646,-0.1527,-0.3913,-0.2158]
1197,[0.,0.,0.,0.],[0.2952,0.4147,0.3316,0.3446,0.0657]
1198,[ 409.5367, 187.7344,-170.356 ,  30.5201],[ 0.3777, 0.0677, 0.1671,-0.3611,-0.1589]
1199,[0.,0.,0.,0.],[ 1.1777, 3.5181, 6.1359, 1.3089,-0.9549]
1200,[0.,0.,0.,0.],[1.9174,1.8266,0.8132,0.5738,3.3166]
